"Bestedingen; consumptie huishoudens 1995-2019"
""
"";"";""
"Onderwerp";"Goederen en diensten";"Perioden";"";""
"Volume|Volumemutaties";"Consumptie nationaal";"1995";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"1996";"%";"4,3"
"Volume|Volumemutaties";"Consumptie nationaal";"1997";"%";"3,5"
"Volume|Volumemutaties";"Consumptie nationaal";"1998";"%";"5,1"
"Volume|Volumemutaties";"Consumptie nationaal";"1999";"%";"5,3"
"Volume|Volumemutaties";"Consumptie nationaal";"2000";"%";"3,7"
"Volume|Volumemutaties";"Consumptie nationaal";"2001";"%";"1,8"
"Volume|Volumemutaties";"Consumptie nationaal";"2002";"%";"0,9"
"Volume|Volumemutaties";"Consumptie nationaal";"2003";"%";"-0,2"
"Volume|Volumemutaties";"Consumptie nationaal";"2004";"%";"1,0"
"Volume|Volumemutaties";"Consumptie nationaal";"2005";"%";"1,0"
"Volume|Volumemutaties";"Consumptie nationaal";"2006";"%";"2,9"
"Volume|Volumemutaties";"Consumptie nationaal";"2007";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"2008";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"2009";"%";"-2,1"
"Volume|Volumemutaties";"Consumptie nationaal";"2010";"%";"0,3"
"Volume|Volumemutaties";"Consumptie nationaal";"2011*";"%";"-1,1"
"Volume|Volumemutaties";"Consumptie nationaal";"2012*";"%";"-1,6"
"Volume|Volumemutaties";"Consumptie nationaal";"2013*";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"2014*";"%";"-0,2"
"Volume|Volumemutaties";"Consumptie nationaal";"2015*";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"2016*";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"2017*";"%";"."
"Volume|Volumemutaties";"Consumptie nationaal";"2018*";"%";"."
"Bron: CBS"
