"Inkomensrekening sector huishoudens naar regio; nationale rekeningen"
""
"";"";""
"Onderwerp";"Perioden";"Regio's";"";""
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2015*";"Groningen (PV)";"euro";"21380"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2015*";"Fryslân (PV)";"euro";"21655"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2015*";"Drenthe (PV)";"euro";"22560"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2016*";"Groningen (PV)";"euro";"22198"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2016*";"Fryslân (PV)";"euro";"22287"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2016*";"Drenthe (PV)";"euro";"23049"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2017*";"Groningen (PV)";"euro";"22648"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2017*";"Fryslân (PV)";"euro";"22848"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2017*";"Drenthe (PV)";"euro";"23504"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2018*";"Groningen (PV)";"euro";"23340"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2018*";"Fryslân (PV)";"euro";"23642"
"Transacties per hoofd van de bevolking|Inkomensverdeling (primaire verdeling)|Bestedingen|Primair inkomen (netto)";"2018*";"Drenthe (PV)";"euro";"24421"
"Bron: CBS"
